"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"156","1VBsMiBqlCOD85hh8EDLht","Wrong Bitch - Extended Mix",0.876,0.677,0.287,0.124,0.525
"157","1Vk4yRsz0iBzDiZEoFMQyv","Mia & Sebastian’s Theme",0.476,0.192,0.064,0.119,0.114
"158","1WcofQlX3MkfAyPkV7c4pz","Higher and Higher",0.702,0.906,0.0525,0.214,0.898
"159","1WHNqqRWhJVZIdCScFKtl5","Washington on Your Side",0.884,0.521,0.348,0.0756,0.425
"160","1x8HxCXwPCLeuITTb4lF32","Crash",0.501,0.161,0.0516,0.181,0.663
"161","1xkixhpqGe2KF5OkVMR9Jr","Vacation",0.666,0.855,0.0749,0.0839,0.887
"162","1xQyCJMEijZvHU51bq80Ek","Imaginary Parties",0.616,0.708,0.224,0.143,0.599
"163","1xWH8zYtDeS9mW1JJG23VZ","R.E.M",0.831,0.485,0.15,0.118,0.622
"164","1ydK8hkHpfzaeLQe6smUwU","Dumb",0.839,0.729,0.236,0.0842,0.836
"165","1YHT1FZv5t3ZFLsVPuy6Rq","My My My!",0.701,0.458,0.0836,0.045,0.482
"166","1zHVZxX8p0OJ9Lkg4XNp4m","Goodbye From Lonely",0.756,0.663,0.0334,0.371,0.332
"167","1ZOPkw0gOQbikXRhDSxBkm","Health Food",0.862,0.577,0.0995,0.383,0.629
"168","1ZQwftFvuyrHrl41HA9dOC","Ultralife",0.442,0.782,0.0477,0.195,0.431
"169","1zyrjK69LRZCvEmUtJUbsT","Someone Gets Hurt",0.271,0.687,0.0542,0.233,0.317
"170","2078fabCzsGiI3npgMtcv7","Plastic Hearts",0.501,0.223,0.0623,0.103,0.236
"171","20dyDdutlGUpKffvWOLpni","Ocean",0.233,0.629,0.0374,0.356,0.0647
"172","20QRXRV7wUFOIgBQCGnUy3","Scream",0.632,0.843,0.0429,0.0662,0.542
"173","21bID4wyC6UVdtmVMxRbUW","I See Stars",0.355,0.755,0.0702,0.115,0.238
"174","21DTcIdnYhGiDvDArwyTpy","Cheers",0.712,0.758,0.0662,0.166,0.605
"175","21xzFXSL2XkZ2mIzDDAqTK","God Must Hate Me",0.459,0.304,0.136,0.0951,0.072
"176","21YnmkSDhUkmkkni22Svc4","In My Blood",0.622,0.709,0.0669,0.126,0.488
"177","22oEJW6r2rMb9z4IntfyEa","Hey Look Ma, I Made It",0.577,0.833,0.0695,0.121,0.58
"178","237OcsZneD4UBcBaNvcOPA","Elastic Heart",0.401,0.725,0.0686,0.36,0.508
"179","24DY3aMlkXRovAiNhulFcq","Green",0.651,0.781,0.218,0.567,0.766
"180","25ry9EyyRsp1dDctlAclin","Inside Your Heaven",0.38,0.596,0.0315,0.132,0.16
"181","26IAAH7txHgGcc8b0ieKdF","Wolves (feat. Raphaella)",0.611,0.62,0.0367,0.14,0.309
"182","27356GVuMPFWiJSZCragoM","make up",0.671,0.714,0.21,0.0568,0.477
"183","27GaJQZLpalF6LRtIxXCaU","Pomatter Pie",0,0.19,0,0.11,0
"184","27MB0qHaYAZiTlwg25js1Y","Stay Alive",0.723,0.415,0.395,0.0995,0.581
"185","27R7X9XRLEQETpzoy3xvg1","Last Name (writing session worktape 1/22/07)",0.636,0.602,0.0624,0.168,0.688
"186","27sm0bc1aa3ilSbJyWpwqc","Home",0.455,0.636,0.0506,0.0808,0.275
"187","29Co9NKhOM5R9vWCrpkPPK","All For You",0.551,0.268,0.0427,0.0977,0.335
"188","29Mqdak3JvesDNRmxy4bst","Little Dancer",0.501,0.379,0.0306,0.502,0.303
"189","29T77Dodhi38rzX0WPrrxE","Supposed - Acoustic",0.412,0.533,0.0417,0.14,0.62
"190","2aDofzh9K1mqXTaANEILES","Black & White",0.714,0.816,0.263,0.214,0.678
"191","2AObG8D3AVTKVmdLWWSsSd","Big Man in Town",0.681,0.853,0.0369,0.225,0.413
"192","2B3kOESoYsMNFr8LxijuIc","Glitter",0.527,0.285,0.0349,0.123,0.268
"193","2bonbKENtFAQQh8U4UEAu5","Engagement Party",0.398,0.0662,0.0401,0.113,0.326
"194","2bOWJIYSbhwg2NMQq1QMYH","Forward (feat. James Blake)",0.387,0.133,0.0474,0.107,0.0498
"195","2BrEFY5Pip0ZrH9XehB0JA","My Boyfriend's Back",0.807,0.849,0.33,0.252,0.928
"196","2cf4PlekPTPr0z1YO6UIXg","Lyin' To Myself",0.729,0.775,0.0871,0.0577,0.315
"197","2cJS4uSqiNCeH4CgOt9LNA","Better",0.597,0.425,0.0295,0.1,0.309
"198","2Czp64BykWyWfIssRXQZvT","Heart Hope",0.377,0.375,0.0505,0.108,0.0712
"199","2debnSAcyNCJnR5ysByXDX","Temporary Home",0.432,0.353,0.0258,0.0897,0.19
"200","2diXwZhccjtTaiZN5ZafHZ","A Soft Place to Land",0.49,0.231,0.0293,0.108,0.147
"201","2djUFakeHHNfmpMj907vZ6","Hurt Any Less",0.604,0.82,0.0435,0.0876,0.563
"202","2dwW50DVv7TJm68OnjxK1Z","Achilles Heel",0.51,0.599,0.0661,0.188,0.172
"203","2e8nVei4B3HyfE3sDEvfLN","Moon",0.523,0.783,0.0331,0.22,0.723
"204","2esoMR142Emu3VY54tx1AB","Don't Forget to Remember Me",0.355,0.641,0.0318,0.24,0.33
"205","2fB3nWTsj1Aba2oJsAiTck","Stupid With Love",0.791,0.481,0.0705,0.0376,0.659
"206","2FNPJWVdGxYhWaotd6rULS","Sandcastles",0.33,0.357,0.0348,0.19,0.101
"207","2G7V7zsVDxg1yRsu7Ew9RJ","In My Feelings",0.835,0.626,0.125,0.396,0.35
"208","2G9lekfCh83S0lt2yfffBz","Farmer Refuted",0.795,0.409,0.372,0.0548,0.577
"209","2Gp6Q9EDhcNHcJiPctBCmk","flowers & sex",0.652,0.34,0.402,0.0691,0.545
"210","2hew0QHOWxyf7JoiP8LVSI","How Would You Like It?",0.601,0.275,0.0303,0.164,0.246
"211","2HhPYh9wefr3DkFKWFLeV7","I Didn't Plan It",0.624,0.786,0.174,0.187,0.609
"212","2hloaUoRonYssMuqLCBLTX","bloodline",0.758,0.665,0.0774,0.216,0.643
"213","2I8Z8AjStXpjXowdnrwePA","Stitches",0.612,0.244,0.0302,0.102,0.323
"214","2kJqNHHGOzLNahukdvlDWN","Drive",0.657,0.456,0.0961,0.084,0.381
"215","2KPBSnz8n5lXYXkLauQXa9","Know Me",0.546,0.646,0.0411,0.144,0.239
"216","2kPpxNSgXRvu5yqkRLKJIu","Winter Wonderland / Don't Worry Be Happy (feat. Tori Kelly)",0.61,0.397,0.0504,0.0833,0.718
"217","2KYyhbWmfbW4z8eMhFzme4","Dazzle",0.635,0.421,0.0448,0.163,0.608
"218","2l3imSkvdlMxEzCLiZXLcM","Just Getting Started",0.597,0.912,0.0336,0.0675,0.884
"219","2lfPecqFbH8X4lHSpTxt8l","Fade",0.791,0.652,0.0426,0.0804,0.494
"220","2lMOo57ThDuatdDuNxxv9e","Get Down",0.495,0.774,0.0374,0.322,0.348
"221","2lwi35A2ym3FAmSlvOGnQp","So Good At Being in Trouble",0.829,0.435,0.0515,0.119,0.594
"222","2LYG1NNTRwnGuJEM7qtxFp","It Won't Be Long Now - Radio Edit",0.532,0.377,0.0519,0.169,0.391
"223","2mBP9IsENazdoJ9ep5iR8i","Sunscreen",0.582,0.151,0.0353,0.0983,0.197
"224","2mdNTPJ4xgwPZZsKEqXbK0","Tidal Wave",0.6,0.608,0.0521,0.137,0.384
"225","2mKwJdkejPRSH5uan5lNjo","What's Wrong With Me? (Reprise)",0.391,0.224,0.0349,0.181,0.274
"226","2P3uCJFlGDvQKXjOye6d5y","Mine",0.269,0.424,0.0528,0.381,0.127
"227","2P91MQbaiQOfbiz9VqhqKQ","I Like Me Better",0.752,0.505,0.253,0.104,0.419
"228","2qFIJT5hjqaNFA1GKwl9me","Take a Break",0.552,0.371,0.227,0.18,0.587
"229","2QgNcjwEn0vGmTommfszQd","Lose It",0.52,0.329,0.0381,0.333,0.171
"230","2qHxjFMmd3bmZ73QEjkrq7","mad at god",0.65,0.311,0.0494,0.108,0.403
"231","2qnpIfc2VeojWsUFZYsclf","Fallen Angel",0.412,0.338,0.0421,0.154,0.413
"232","2qT1uLXPVPzGgFOx4jtEuo","no tears left to cry",0.699,0.713,0.0594,0.294,0.354
"233","2ri0m8ddy1fUSePTW9uW88","What Makes A Man",0.584,0.666,0.0464,0.105,0.211
"234","2RQAG0wQt35UzAPEyVJFWN","Love Drought",0.455,0.535,0.0426,0.126,0.216
"235","2RySKN3UwS64dv4xUpZ12f","Smoke Clouds",0.453,0.422,0.0426,0.112,0.472
"236","2ScrwCtee5LnTrpQZfrxqJ","All About You",0.52,0.589,0.0304,0.0613,0.447
"237","2sEq2rC3ynYsT49x7utWnd","Dear Theodosia",0.598,0.221,0.0303,0.0723,0.274
"238","2sG0yXAHTuv37XpsgdN4cL","December 1963 (Oh, What a Night) (feat. Tituss Burgess)",0.764,0.756,0.0762,0.105,0.746
"239","2soCr3tI1sJ6lFrxBPQVzQ","Cold in LA",0.676,0.624,0.065,0.104,0.726
"240","2t2ZWNGHKBD0egqxtCLloy","Paradise - Acoustic",0.644,0.514,0.0315,0.144,0.589
"241","2tbu7dOzCjM5JrPGr0sIes","drunk text me",0.531,0.494,0.0317,0.0888,0.24
"242","2TK2KSrzXD6W01qjXVjNGh","The Room Where It Happens",0.638,0.49,0.426,0.664,0.511
"243","2TqWayWYGNjqfTpapyveyu","Low",0.806,0.879,0.0824,0.318,0.617
"244","2Uk0aFqYCtecHL5MCq2we0","Secret For The Mad",0.491,0.0861,0.0565,0.0932,0.391
"245","2UtpQrUYcBi8H0XehwU2Iq","Emergency",0.614,0.663,0.0499,0.189,0.435
"246","2v4X20YmHDM6c3J0jDS1is","Cure",0.317,0.468,0.0358,0.109,0.155
"247","2vdBo4ALPYbHRUPKgtE5iC","ghostin",0.287,0.364,0.0306,0.185,0.11
"248","2w9nvs1ByWUGkED4M0ug34","Unloving You",0.765,0.393,0.0311,0.142,0.224
"249","2W9u3whoCkQYOUbmnSrHi1","What'd I Miss",0.539,0.577,0.386,0.14,0.319
"250","2wCVpdNSHjqIn2en8jAnF0","Paranoid",0.701,0.241,0.0515,0.149,0.132
"251","2WSqVUcwbcVLWJhST2yXxM","Jaywalk",0.509,0.874,0.146,0.716,0.545
"252","2WW9X7mc7lE8DbE4WbTNwI","Psycho (When I Wake Up)",0.612,0.782,0.0296,0.123,0.57
"253","2XELtFPg5H2Xmg6eas6dII","High On Humans",0.553,0.918,0.0594,0.0776,0.756
"254","2xKy8HbpMFgHV2xZhpQf12","You Broke Me First",0.399,0.274,0.0313,0.109,0.198
"255","2xUcsMzJrII3LhmcxNHIWJ","This Town (feat. Shakey Graves)",0.59,0.274,0.0337,0.114,0.38
