"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"109","4IN3imzEuTsiHO6tOwDQu5","Trapdoor",0.55,0.625,0.0399,0.161,0.317
"110","4izhmF4sQgGemZpLC68bC5","Before You Start Your Day",0.363,0.135,0.0295,0.107,0.195
"111","4j8gmCSLLy0TSFg2brV01g","Taxi Cab",0.567,0.572,0.0318,0.103,0.205
"112","4ofwffwvvnbSkrMSCKQDaC","Shotgun",0.673,0.735,0.0457,0.242,0.754
"113","4Oyl6oYSNeeZZP0OAxPVaU","Message Man",0.715,0.838,0.118,0.15,0.497
"114","4ozum7awQLhJ6D6fQL5xPy","Pearly* - Remastered",0.324,0.853,0.0475,0.301,0.317
"115","4PQpCNTo1hvX9EyUCCtt20","CPU",0.531,0.714,0.04,0.0726,0.329
"116","4RdRa3qq0GBSKjomxrkh5K","Guns for Hands",0.684,0.858,0.0342,0.0828,0.518
"117","4rfaoyaZvNa60cj3OKSQV9","Migraine",0.69,0.678,0.154,0.246,0.409
"118","4svZDCRz4cJoneBpjpx8DJ","I Did Something Bad",0.696,0.602,0.159,0.0696,0.305
"119","4TQcARE7Fd58akNhr3N7AE","Twisted",0.577,0.789,0.0427,0.214,0.149
"120","4w4qrHEm4Olj1K070PKgvZ","Shootin' 'n' Lootin'",0.608,0.788,0.167,0.0885,0.672
"121","4ZS3PmdXt20YDDsgEh9zmM","OK",0.626,0.703,0.0331,0.348,0.601
"122","4ZsB0i93AKEyy2a12AL7EG","Every Step That I Take (feat. Portugal. The Man and Whethan)",0.53,0.764,0.22,0.461,0.539
"123","552BIJ9kKwwqiGf4YojYbL","Man of War",0.274,0.472,0.0263,0.0802,0.14
"124","57yL3161hUMuw06zzzUCHi","Doubt",0.719,0.645,0.0358,0.362,0.69
"125","59OZiGqFfWmry6o9pTx8i8","Bruises",0.45,0.856,0.0734,0.604,0.361
"126","5AMlkhfcb7TEVghsY4ymdD","Carnival Kerfuffle",0.701,0.616,0.0505,0.0886,0.635
"127","5AprQMAX0PtpG923NUgZN6","Hero",0.549,0.741,0.0325,0.298,0.42
"128","5bAJhDTVCWVScr5Ev4LnB2","Rhythm & Blues",0.433,0.863,0.0296,0.351,0.54
"129","5cbpoIu3YjoOwbBDGUEp3P","Car Radio",0.766,0.519,0.0366,0.0855,0.612
"130","5EKqsMU2tn1iAYNQF8h0ll","Salt And The Sea",0.63,0.31,0.028,0.128,0.0712
"131","5FN1qN680GO9MJ7rs5wyb7","Burning Alive",0.595,0.673,0.0295,0.292,0.315
"132","5G1lwu6P8F6ZhTk3mPLjtz","Bills",0.591,0.855,0.0681,0.277,0.619
"133","5G6Gt9RtNaeIE418pd4yre","Smithereens",0.764,0.548,0.14,0.0769,0.519
"134","5GtPJRrNgLshWt9DmKjdvY","Megalovania UnderMix",0.642,0.894,0.0523,0.318,0.376
"135","5HCXMBxZIVaVLXpyoqPM3g","Leave the City",0.506,0.379,0.0334,0.0956,0.299
"136","5HeKOKc4phmLn8e4I7EkzD","My Blood",0.749,0.723,0.0432,0.0977,0.674
"137","5IawVRxsgtrIEWy1uZNaIo","Out Of Memory",0.554,0.829,0.0331,0.234,0.138
"138","5INKIG4QNuD4xq7qZcfPzp","Bandito",0.661,0.52,0.028,0.105,0.427
"139","5KkyvgCkrbnOcl1kqrKLIN","Ape Suite #1 - Instrumental",0.116,0.199,0.044,0.109,0.0361
"140","5l4alulf90ZuqQrNA57s3h","A-Bit of Beethoven",0.313,0.763,0.0611,0.136,0.323
"141","5O3FBCAj4Y3rvPXrEmlinc","No Surprises - Remastered",0.274,0.449,0.0279,0.114,0.0797
"142","5oLWroGhJvHACXQ5nEx692","Confrontation",0.288,0.586,0.109,0.0966,0.0878
"143","5P3yUXUC9rZPJPNmYGKEAz","Goner",0.565,0.437,0.0403,0.0656,0.217
"144","5pryXvaRTif60GCf1e4rmc","Dream",0.379,0.513,0.0492,0.069,0.108
"145","5q63CeN78e2JaFdhvLyNRz","Alive",0.423,0.664,0.0878,0.354,0.287
"146","5R8pnOmAwKNh4KnvJW2paN","The Tourist - Remastered",0.248,0.328,0.032,0.105,0.0398
"147","5rAUZy2eDdegBxUVYxePK2","In The End - Mellen Gi Remix",0.618,0.611,0.11,0.162,0.224
"148","5rwltqXrIniDtZIx4J6u50","The Upside Down",0.169,0.0598,0.0339,0.173,0.0318
"149","5SehvGGC53A7SZKCLXQcyt","Nico and the Niners",0.728,0.602,0.185,0.318,0.328
"150","5tDkjUaPiTYne5aDtg6ZUE","Meeting in the Aisle - Remastered",0.385,0.776,0.0316,0.291,0.148
"151","5tVmNtMvCCABF6u2IyLLjX","Next Up Forever",0.373,0.569,0.0515,0.377,0.274
"152","5w5NylxR2K71isn84raTZh","Smoke And Mirrors",0.601,0.636,0.0283,0.446,0.0812
"153","5WzhZoBDmaAGzlG9PKrZi3","Beethoven Symphony 5 (8 Bit Version)",0.307,0.491,0.0351,0.152,0.132
"154","5XI6BxRGJNkUDrCEWdHgQQ","Death by Glamour (Undertale Remix)",0.7,0.757,0.205,0.848,0.366
"155","5xRcy8i64lENBk48rOe7K8","A.I.",0.705,0.668,0.0432,0.114,0.261
"156","5y3U5UoMDa7hFZ39piEAhS","This Is Halloween - Remix",0.609,0.955,0.0421,0.667,0.569
"157","5zTX7MeCrTX5ZBFSqJS7XZ","A Car, A Torch, A Death",0.618,0.732,0.0724,0.0925,0.444
"158","5zxJ3BZyd6BK2gX4b2RnB4","Bullets",0.455,0.649,0.0519,0.155,0.0719
"159","61vlvG3pr4djrXPtHPdXII","Don't Throw Out My Legos",0.629,0.583,0.0415,0.118,0.492
"160","630ifcUFrehtXlP6m6JBKo","Megalovania",0.478,0.943,0.152,0.071,0.302
"161","64ETHwzBLaBTGuKY55K1Kc","Friction",0.65,0.548,0.0357,0.293,0.29
"162","65kWtHIqg2IACNR9KP4KOS","Intro",0.555,0.852,0.149,0.0813,0.0749
"163","68hC01gNja5yqY5JCkV82E","I’m So Sorry",0.528,0.687,0.0532,0.251,0.423
"164","68NsOuum1AegLDhOIr2ADL","The Run and Go",0.798,0.318,0.0431,0.158,0.425
"165","6BEKt5axiNeWCr9huv0k7I","Truce",0.537,0.0231,0.0475,0.146,0.342
"166","6cwemXIKrAQeP7TMErGwM3","Isle Of Flightless Birds",0.753,0.421,0.0551,0.139,0.134
"167","6FQcdl2PzmsoXRF3F1flZ5","Second Chances",0.401,0.567,0.0355,0.103,0.362
"168","6gDTyTnFxpvQtkgGuNWGbE","Friend, Please",0.228,0.517,0.0401,0.29,0.204
"169","6gFtgkh8ShkrJn52Cbdhxy","Cut My Lip",0.641,0.561,0.0355,0.358,0.678
"170","6gi7qsHSH2JWZsTRHndxqm","Rain (from The Suicide Squad)",0.483,0.643,0.0404,0.361,0.219
"171","6GmkJJMe9U1tEcrJ3Hq3A1","Polarize",0.597,0.666,0.0418,0.1,0.626
"172","6gXv8OCSgKr5ZoVYi7Q7GM","How I Made My Millions - Remastered",0.251,0.243,0.0307,0.126,0.247
"173","6ibfO3qu7g7vSWKEEfiLvF","Interconnected",0.573,0.786,0.0298,0.434,0.47
"174","6jyBJcJwIzlEa2Z6ZlwTVN","Bastardized Ink",0.611,0.724,0.198,0.144,0.356
"175","6ndnOniozGPZBQ2N5Tjftd","Silicon Valley",0.465,0.376,0.03,0.099,0.14
"176","6PeXzqP7E9g3H0aMbBhB9L","Battle Sirens (feat. Knife Party)",0.332,0.933,0.161,0.29,0.0834
"177","6QOZWUCG5vq4xtU3mW2ZA2","The Pantaloon",0.733,0.636,0.0299,0.32,0.591
"178","6qrRjccCGT1LC9yO0bsBfm","Black the Sky",0.553,0.6,0.0265,0.0916,0.681
"179","6UdRQLhETxqycXlc7uDGOd","Find Another Way (feat. Marcus Mumford)",0.512,0.846,0.0453,0.191,0.382
"180","6V68ItawQkQlZhYIf1S86C","Crazy = Genius",0.455,0.91,0.166,0.107,0.447
"181","6V9PDDZ2pHQCUleRXvRYQ1","I Promise",0.441,0.435,0.0261,0.0982,0.487
"182","6W0ZYqpH88NpGN87vj6ZZd","Ones And Zeros",0.597,0.702,0.0351,0.22,0.496
"183","6ybmRhj9GrOl6k86Z5IQwf","Man's Not Hot - Instrumental",0.787,0.662,0.0489,0.129,0.275
"184","6YQlCOZnlFmqeciAh58fDE","Orphans",0.503,0.808,0.0451,0.557,0.282
"185","6zakxAA0Mf1EA2pR8tgFQl","The Killing of a Giant",0.659,0.634,0.0464,0.145,0.123
"186","70Cp0ukCMyWeJML77NGERU","Semi-Automatic",0.78,0.716,0.0439,0.0704,0.362
"187","70oK6ePjILgOuBUzRDOfCR","Air Catcher",0.519,0.436,0.0285,0.107,0.133
"188","70THn7YYfyk1U4zozH3bUy","Forest Follies",0.627,0.584,0.0316,0.107,0.948
"189","773xZHHSHJvC1z3AAtWgH6","Ode to Sleep",0.446,0.76,0.0453,0.232,0.512
"190","77vDHmiANW3JS2gNN5q7pI","Fall Away",0.816,0.766,0.0565,0.0893,0.696
"191","78VbQcPp4pfze0sMWyej6q","Lucky One (feat. K.Flay)",0.483,0.804,0.0923,0.135,0.596
"192","7BFYY2EFrru8QHolUiKpEE","Palo Alto - Remastered",0.406,0.819,0.0738,0.11,0.325
"193","7BOXzaH1Rv9JLUgwvAkID5","Let Down - Remastered",0.364,0.752,0.0312,0.093,0.122
"194","7Cf4XVVHzCveZCsfhoRBAu","Play",0.482,0.812,0.0273,0.279,0.726
"195","7cX4PJz1old9fyFI8RlfgW","Read My Mind",0.543,0.917,0.0444,0.104,0.329
"196","7daBwTiPNOVgoMUG4SICgh","Pet Cheetah",0.653,0.684,0.199,0.27,0.355
