"","track.id","track.name","danceability","energy","speechiness","liveness","valence"
"109","0C2XDhJ1pZQnsceOJXg71d",":( (sad face)",0.661,0.552,0.0278,0.0953,0.408
"110","0C4ejWmOTMv8vuYj85mf8m","S&M",0.767,0.682,0.042,0.104,0.833
"111","0C9g70hdhr7W3HCs3ITUYz","No Scrubs",0.458,0.778,0.279,0.315,0.312
"112","0c9MclNsY3jS0pcm3r5lFX","Des heures",0.738,0.6,0.175,0.0964,0.964
"113","0CAfXk7DXMnon4gLudAp7J","Low (feat. T-Pain)",0.918,0.609,0.0791,0.139,0.304
"114","0cAGNiWXRAXX1QKn3Ssbzd","4ÆM",0.482,0.905,0.0419,0.288,0.116
"115","0CbhCCfFcxN5TFDQbCyHJa","the less I care, the better",0.616,0.405,0.0365,0.0947,0.744
"116","0CCz2z8R2vtmtlsabmZaHj","Killer on the Drive Home",0.614,0.704,0.0533,0.136,0.383
"117","0CfmNX2TXk7yoJqHJiixnp","She Bad",0.791,0.504,0.266,0.0963,0.355
"118","0CIqkKkNIwLPZ0pMAefOad","Anxiety",0.498,0.622,0.0421,0.0744,0.223
"119","0CJ1quCQhVX9Ax2jYwwovA","We No Speak Americano",0.865,0.691,0.0501,0.0964,0.456
"120","0cjclnXBEihsvHLuqJzpJr","Young",0.493,0.81,0.0264,0.0635,0.591
"121","0CmCoJ9ENUTp5WTNUVRNVR","Too Young",0.852,0.601,0.279,0.129,0.601
"122","0coJ7le3KwnvIEMVvafz5D","Angel",0.581,0.661,0.081,0.0999,0.701
"123","0cOrNgkbsWJYmxzf7T9nUd","Come Back for Me",0.359,0.379,0.0327,0.331,0.145
"124","0cqRj7pUJDkTCEsJkx8snD","Shake It Off",0.647,0.8,0.165,0.334,0.942
"125","0cSa59fh4uFioeJeWYYykW","Overconfidence (Hyper's Cyberpunk Deconstruction)",0.337,0.963,0.219,0.046,0.27
"126","0CSTvWUps1YmpQoXXay9ol","Cosmic Love",0.524,0.803,0.0366,0.115,0.0827
"127","0CUDJNdyr5XhIblZRYIpe9","Have Fun",0.26,0.672,0.0311,0.1,0.206
